rankid,rank,song,artist,year
"337","37","Hold Me Tight","Johnny Nash","1968"
"338","38","Yummy Yummy Yummy","Ohio Express","1968"
"339","39","Fire","The Crazy World of Arthur Brown","1968"
"340","40","Love Is All Around","The Troggs","1968"
"341","41","Playboy","Gene & Debbe","1968"
"342","42","(Theme from) Valley of the Dolls","Dionne Warwick","1968"
"343","43","Classical Gas","Mason Williams","1968"
"344","44","Slip Away","Clarence Carter","1968"
"345","45","Girl Watcher","The O'Kaysions","1968"
"346","46","(Sweet Sweet Baby) Since You've Been Gone","Aretha Franklin","1968"
"347","47","Green Tambourine","The Lemon Pipers","1968"
"348","48","1, 2, 3, Red Light","1910 Fruitgum Company","1968"
"349","49","Reach out of the Darkness","Friend & Lover","1968"
"350","50","Jumpin' Jack Flash","The Rolling Stones","1968"
"351","51","MacArthur Park","Richard Harris","1968"
"352","52","Light My Fire","José Feliciano","1968"
"353","53","I Love You","People!","1968"
"354","54","Take Time to Know Her","Percy Sledge","1968"
"355","55","Pictures of Matchstick Men","Status Quo","1968"
"356","56","Summertime Blues","Blue Cheer","1968"
"357","57","Ain't Nothing Like the Real Thing","Marvin Gaye & Tammi Terrell","1968"
"358","58","I Got the Feelin'","James Brown","1968"
"359","59","I've Gotta Get a Message to You","The Bee Gees","1968"
"360","60","Lady Madonna","The Beatles","1968"
"361","61","Hurdy Gurdy Man","Donovan","1968"
"362","62","Magic Carpet Ride","Steppenwolf","1968"
"363","63","Bottle of Wine","The Fireballs","1968"
"364","64","Stay in My Corner","The Dells","1968"
"365","65","Soul Serenade","Willie Mitchell","1968"
"366","66","Delilah","Tom Jones","1968"
"367","67","Nobody but Me","The Human Beinz","1968"
"368","68","I Thank You","Sam & Dave","1968"
"369","69","The Fool on the Hill","Sérgio Mendes","1968"
"370","70","Sky Pilot","The Animals","1968"
"371","71","Indian Lake","The Cowsills","1968"
"372","72","I Wonder What She's Doing Tonight","Tommy Boyce & Bobby Hart","1968"
"373","73","Over You","Gary Puckett & The Union Gap","1968"
"374","74","Goin' Out of My Head/Can't Take My Eyes Off You","The Lettermen","1968"
"375","75","Shoo-Be-Doo-Be-Doo-Da-Day","Stevie Wonder","1968"
"376","76","The Unicorn","The Irish Rovers","1968"
"377","77","You Keep Me Hangin' On","Vanilla Fudge","1968"
"378","78","Revolution","The Beatles","1968"
"379","79","Woman, Woman","Gary Puckett & The Union Gap","1968"
"380","80","Elenore","The Turtles","1968"
"381","81","White Room","Cream","1968"
"382","82","You're All I Need to Get By","Marvin Gaye & Tammi Terrell","1968"
"383","83","Baby, Now That I've Found You","The Foundations","1968"
